,,,,% area that is greenspace,,Average PTAL score,,,
00BHGP,E05000606,Waltham Forest,Markhouse,29.0,30.9,4.1,4.0,3.9,4.2
00BHGQ,E05000607,Waltham Forest,Valley,17.6,17.6,2.4,2.4,2.5,2.4
00BHGR,E05000608,Waltham Forest,William Morris,5.3,5.3,3.3,3.3,3.4,3.5
00BHGS,E05000609,Waltham Forest,Wood Street,34.4,34.4,3.5,3.5,3.5,3.7
00BJFZ,E05000610,Wandsworth,Balham,11.7,11.8,4.6,4.6,4.7,4.7
00BJGA,E05000611,Wandsworth,Bedford,47.9,44.9,4.1,4.2,4.2,4.1
00BJGB,E05000612,Wandsworth,Earlsfield,16.7,16.5,3.6,3.6,3.7,3.9
00BJGC,E05000613,Wandsworth,East Putney,11.0,11.0,4.3,4.3,4.3,4.1
00BJGD,E05000614,Wandsworth,Fairfield,11.2,11.1,5.2,5.2,5.3,5.5
00BJGE,E05000615,Wandsworth,Furzedown,18.8,19.3,3.0,3.1,3.1,3.2
00BJGF,E05000616,Wandsworth,Graveney,2.6,2.6,5.2,5.2,5.3,5.2
00BJGG,E05000617,Wandsworth,Latchmere,12.5,12.7,5.0,5.3,5.6,5.9
00BJGH,E05000618,Wandsworth,Nightingale,9.5,9.6,5.3,5.3,5.3,5.4
00BJGJ,E05000619,Wandsworth,Northcote,34.0,34.5,4.9,4.9,4.9,5.3
00BJGK,E05000620,Wandsworth,Queenstown,38.5,38.5,4.3,4.3,4.3,4.4
00BJGL,E05000621,Wandsworth,Roehampton,70.6,70.6,2.9,2.9,3.0,2.8
00BJGM,E05000622,Wandsworth,St. Mary's Park,26.9,26.9,3.5,3.5,3.5,3.9
00BJGN,E05000623,Wandsworth,Shaftesbury,2.4,2.1,4.9,5.0,5.0,5.5
00BJGP,E05000624,Wandsworth,Southfields,17.0,18.1,3.7,3.8,3.8,3.7
00BJGQ,E05000625,Wandsworth,Thamesfield,34.5,34.5,4.6,4.7,4.7,4.5
00BJGR,E05000626,Wandsworth,Tooting,33.7,33.7,5.0,5.1,5.3,5.1
00BJGS,E05000627,Wandsworth,Wandsworth Common,48.2,48.2,2.5,2.6,2.6,2.7
00BJGT,E05000628,Wandsworth,West Hill,31.9,31.9,2.8,2.9,2.9,2.8
00BJGU,E05000629,Wandsworth,West Putney,20.5,20.0,2.8,2.8,2.8,2.7
00BKGA,E05000630,Westminster,Abbey Road,7.2,7.2,5.3,5.4,5.4,5.4
00BKGB,E05000631,Westminster,Bayswater,3.8,3.8,6.0,6.0,6.0,6.5
00BKGC,E05000632,Westminster,Bryanston and Dorset Square,2.1,2.1,7.9,8.0,8.0,8.0
00BKGD,E05000633,Westminster,Churchill,22.2,22.2,4.8,4.8,4.7,4.9
00BKGE,E05000634,Westminster,Church Street,7.6,7.6,6.3,6.1,6.0,6.7
00BKGF,E05000635,Westminster,Harrow Road,3.0,3.0,5.5,5.5,5.5,5.7
00BKGG,E05000636,Westminster,Hyde Park,8.9,8.9,7.7,7.8,7.9,8.0
00BKGH,E05000637,Westminster,Knightsbridge and Belgravia,69.1,69.1,6.7,6.6,6.6,6.6
00BKGJ,E05000638,Westminster,Lancaster Gate,8.6,8.6,7.1,7.1,7.1,7.7
00BKGK,E05000639,Westminster,Little Venice,15.5,15.4,5.6,5.6,5.5,5.6
00BKGL,E05000640,Westminster,Maida Vale,27.2,27.2,5.4,5.3,5.3,5.2
00BKGM,E05000641,Westminster,Marylebone High Street,6.1,6.1,7.8,7.8,7.7,7.7
00BKGN,E05000642,Westminster,Queen's Park,4.4,4.4,5.0,5.0,5.0,5.0
00BKGP,E05000643,Westminster,Regent's Park,62.2,62.2,5.1,5.1,5.2,5.2
00BKGQ,E05000644,Westminster,St. James's,30.7,30.7,7.4,7.6,7.7,7.6
00BKGR,E05000645,Westminster,Tachbrook,32.4,32.4,6.1,6.1,6.1,6.6
00BKGS,E05000646,Westminster,Vincent Square,30.0,26.4,6.7,6.7,6.8,6.9
00BKGT,E05000647,Westminster,Warwick,4.0,4.0,6.3,6.3,6.3,7.2
00BKGU,E05000648,Westminster,Westbourne,19.2,19.2,4.7,4.7,4.8,4.9
00BKGW,E05000649,Westminster,West End,3.9,3.9,7.9,7.9,8.0,8.0
#1,E12000007,,London,39.0,39.1,3.6,3.7,3.7,3.8
#2,E92000001,,England,n/a,n/a,n/a,n/a,n/a,n/a
#3,K04000001,,England and Wales,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,,,,
